Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.957      0.212         172.067    444.389
N                                 184.455     80.180         133.912    357.456
M                                 235.097    -31.715         180.746    489.753
k1                                389.955    -19.823         227.750    678.557
k2                                172.136     44.829         131.610    338.561
tau1                               81.237     -1.741          90.803    219.355
tau2                              301.255     38.936         194.676    550.300
tauAch                            369.376    147.560         185.686    555.760
tauNor                            363.412    -65.080         176.915    550.859
beta                              302.648    178.756         199.118    532.830
h0                                591.123     32.454         254.947    842.151
mNor                              341.640     27.708         208.818    601.777
mAch                              477.265    226.239         246.030    725.226
