Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             233.524     -5.469          66.203    418.440
N                                 321.443    -41.737          91.110    566.243
M                                 331.203     76.791          84.938    557.118
k1                                293.115    -87.066         100.490    581.438
k2                                278.781     48.855          98.624    563.258
tau1                              373.778   -103.714          99.478    634.374
tau2                              297.391    -11.626          79.927    521.718
tauAch                            281.411      6.626          78.557    512.741
tauNor                            260.219     13.885          81.005    500.912
beta                              338.138    -54.129          79.675    533.756
h0                                316.692    -15.892          87.329    546.469
mNor                              400.422     95.394         104.819    663.960
mAch                              255.168     29.910          80.850    479.050
