Parameter S1 S1_conf ST ST_conf
alpha -93.556318 0.000000 51.395746 0.000000
N -84.054504 0.000000 41.486129 0.000000
M -500.946574 0.000000 1473.546172 0.000000
k1 -131.837663 0.000000 102.061023 0.000000
k2 -36.785266 0.000000 7.945637 0.000000
tau1 -85.973140 0.000000 43.401676 0.000000
tau2 -68.545535 0.000000 27.589210 0.000000
tauAch -84.145868 0.000000 41.576365 0.000000
tauNor -35.768846 0.000000 7.512609 0.000000
beta -46.229977 0.000000 12.549554 0.000000
h0 -73.639055 0.000000 31.841780 0.000000
mNor -41.399128 0.000000 10.063830 0.000000
mAch -106.712675 0.000000 66.867170 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 97.514263 0.000000
alpha M 192.567444 0.000000
alpha k1 108.409029 0.000000
alpha k2 86.736674 0.000000
alpha tau1 97.951720 0.000000
alpha tau2 93.978152 0.000000
alpha tauAch 97.535095 0.000000
alpha tauNor 86.504926 0.000000
alpha beta 88.890109 0.000000
alpha h0 95.139496 0.000000
alpha mNor 87.788654 0.000000
alpha mAch 102.680423 0.000000
N M 462.859426 0.000000
N k1 140.879228 0.000000
N k2 57.963349 0.000000
N tau1 100.870797 0.000000
N tau2 85.668390 0.000000
N tauAch 99.276836 0.000000
N tauNor 57.076708 0.000000
N beta 66.202137 0.000000
N h0 90.111558 0.000000
N mNor 61.988102 0.000000
N mAch 118.962259 0.000000
M k1 515.694442 0.000000
M k2 494.175069 0.000000
M tau1 505.310950 0.000000
M tau2 501.365430 0.000000
M tauAch 504.897265 0.000000
M tauNor 493.944956 0.000000
M beta 496.313303 0.000000
M h0 502.518577 0.000000
M mNor 495.219623 0.000000
M mAch 510.006274 0.000000
k1 k2 89.347270 0.000000
k1 tau1 159.223606 0.000000
k1 tau2 134.465935 0.000000
k1 tauAch 156.627782 0.000000
k1 tauNor 87.903343 0.000000
k1 beta 102.764435 0.000000
k1 h0 141.701794 0.000000
k1 mNor 95.901725 0.000000
k1 mAch 188.686207 0.000000
k2 tau1 41.066905 0.000000
k2 tau2 37.196182 0.000000
k2 tauAch 40.661063 0.000000
k2 tauNor 29.916381 0.000000
k2 beta 32.239829 0.000000
k2 h0 38.327468 0.000000
k2 mNor 31.166883 0.000000
k2 mAch 45.673218 0.000000
tau1 tau2 89.105627 0.000000
tau1 tauAch 115.519067 0.000000
tau1 tauNor 33.610332 0.000000
tau1 beta 51.322419 0.000000
tau1 h0 97.729634 0.000000
tau1 mNor 43.143148 0.000000
tau1 mAch 153.727674 0.000000
tau2 tauAch 75.351583 0.000000
tau2 tauNor 56.483507 0.000000
tau2 beta 60.563572 0.000000
tau2 h0 71.253701 0.000000
tau2 mNor 58.679437 0.000000
tau2 mAch 84.153122 0.000000
tauAch tauNor -7.970199 0.000000
tauAch beta 23.188707 0.000000
tauAch h0 104.827762 0.000000
tauAch mNor 8.799824 0.000000
tauAch mAch 203.338888 0.000000
tauNor beta 36.735026 0.000000
tauNor h0 35.441035 0.000000
tauNor mNor 36.963092 0.000000
tauNor mAch 33.879620 0.000000
beta h0 50.193510 0.000000
beta mNor 31.790462 0.000000
beta mAch 69.072444 0.000000
h0 mNor 46.239260 0.000000
h0 mAch 116.983923 0.000000
mNor mAch 156.298451 0.000000
