Parameter S1 S1_conf ST ST_conf
alpha -3.291077 0.000000 2.654151 0.000000
N -18.523580 0.000000 84.081327 0.000000
M 4.471057 0.000000 4.898580 0.000000
k1 -2.980613 0.000000 2.177013 0.000000
k2 -147.953525 0.000000 5364.142798 0.000000
tau1 -8.974288 0.000000 19.735573 0.000000
tau2 -13.357624 0.000000 43.722816 0.000000
tauAch -3.699986 0.000000 3.354671 0.000000
tauNor -4.681631 0.000000 5.370862 0.000000
beta -5.020074 0.000000 6.175469 0.000000
h0 -6.069847 0.000000 9.028284 0.000000
mNor -3.815723 0.000000 3.567823 0.000000
mAch -17.840368 0.000000 77.993306 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 18.919071 0.000000
alpha M -7.453485 0.000000
alpha k1 1.092838 0.000000
alpha k2 167.362310 0.000000
alpha tau1 7.966986 0.000000
alpha tau2 12.994234 0.000000
alpha tauAch 1.917887 0.000000
alpha tauNor 3.043735 0.000000
alpha beta 3.431896 0.000000
alpha h0 4.635881 0.000000
alpha mNor 2.050625 0.000000
alpha mAch 18.135495 0.000000
N M 4.590056 0.000000
N k1 15.672909 0.000000
N k2 231.290809 0.000000
N tau1 24.587289 0.000000
N tau2 31.106615 0.000000
N tauAch 16.742831 0.000000
N tauNor 18.202829 0.000000
N beta 18.706195 0.000000
N h0 20.267520 0.000000
N mNor 16.914965 0.000000
N mAch 37.773791 0.000000
M k1 -6.572945 0.000000
M k2 152.408805 0.000000
M tau1 -0.000097 0.000000
M tau2 4.806803 0.000000
M tauAch -5.784059 0.000000
M tauNor -4.707557 0.000000
M beta -4.336410 0.000000
M h0 -3.185196 0.000000
M mNor -5.657139 0.000000
M mAch 9.722719 0.000000
k1 k2 -11.903405 0.000000
k1 tau1 2.556430 0.000000
k1 tau2 2.100374 0.000000
k1 tauAch 3.105185 0.000000
k1 tauNor 3.003051 0.000000
k1 beta 2.967838 0.000000
k1 h0 2.858617 0.000000
k1 mNor 3.093143 0.000000
k1 mAch 1.633975 0.000000
k2 tau1 116.880434 0.000000
k2 tau2 83.472564 0.000000
k2 tauAch 157.078862 0.000000
k2 tauNor 149.597197 0.000000
k2 beta 147.017728 0.000000
k2 h0 139.016815 0.000000
k2 mNor 156.196771 0.000000
k2 mAch 49.307044 0.000000
tau1 tau2 -10.076283 0.000000
tau1 tauAch 11.670323 0.000000
tau1 tauNor 9.459903 0.000000
tau1 beta 8.697812 0.000000
tau1 h0 6.333983 0.000000
tau1 mNor 11.409713 0.000000
tau1 mAch -20.170311 0.000000
tau2 tauAch 14.556543 0.000000
tau2 tauNor 13.573575 0.000000
tau2 beta 13.234676 0.000000
tau2 h0 12.183488 0.000000
tau2 mNor 14.440650 0.000000
tau2 mAch 0.397103 0.000000
tauAch tauNor 2.648190 0.000000
tauAch beta 4.298809 0.000000
tauAch h0 9.418646 0.000000
tauAch mNor -1.574921 0.000000
tauAch mAch 66.824524 0.000000
tauNor beta 4.839362 0.000000
tauNor h0 6.187938 0.000000
tauNor mNor 3.292208 0.000000
tauNor mAch 21.308775 0.000000
beta h0 6.602235 0.000000
beta mNor 3.560685 0.000000
beta mAch 22.484506 0.000000
h0 mNor 5.011309 0.000000
h0 mAch 18.737317 0.000000
mNor mAch 19.287235 0.000000
