Parameter S1 S1_conf ST ST_conf
alpha -0.052729 0.000000 0.000344 0.000000
N 0.003488 0.000000 0.000002 0.000000
M -0.052053 0.000000 0.000335 0.000000
k1 -0.120481 0.000000 0.001796 0.000000
k2 -0.143401 0.000000 0.002544 0.000000
tau1 1.184157 0.000000 0.173490 0.000000
tau2 -0.071642 0.000000 0.000635 0.000000
tauAch -0.116005 0.000000 0.001665 0.000000
tauNor -0.088452 0.000000 0.000968 0.000000
beta -0.133030 0.000000 0.002190 0.000000
h0 -0.099175 0.000000 0.001217 0.000000
mNor -0.103324 0.000000 0.001321 0.000000
mAch -0.314199 0.000000 0.012214 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 0.028099 0.000000
alpha M 0.084736 0.000000
alpha k1 0.154514 0.000000
alpha k2 0.177886 0.000000
alpha tau1 -1.175861 0.000000
alpha tau2 0.104711 0.000000
alpha tauAch 0.149949 0.000000
alpha tauNor 0.121853 0.000000
alpha beta 0.167310 0.000000
alpha h0 0.132788 0.000000
alpha mNor 0.137018 0.000000
alpha mAch 0.352054 0.000000
N M 0.027798 0.000000
N k1 0.096001 0.000000
N k2 0.118847 0.000000
N tau1 -1.204366 0.000000
N tau2 0.047322 0.000000
N tauAch 0.091540 0.000000
N tauNor 0.064077 0.000000
N beta 0.108509 0.000000
N h0 0.074765 0.000000
N mNor 0.078901 0.000000
N mAch 0.289085 0.000000
M k1 0.151854 0.000000
M k2 0.174771 0.000000
M tau1 -1.152581 0.000000
M tau2 0.103023 0.000000
M tauAch 0.147379 0.000000
M tauNor 0.119830 0.000000
M beta 0.164401 0.000000
M h0 0.130552 0.000000
M mNor 0.134700 0.000000
M mAch 0.345542 0.000000
k1 k2 0.251158 0.000000
k1 tau1 -1.162284 0.000000
k1 tau2 0.174756 0.000000
k1 tauAch 0.221989 0.000000
k1 tauNor 0.192653 0.000000
k1 beta 0.240115 0.000000
k1 h0 0.204071 0.000000
k1 mNor 0.208488 0.000000
k1 mAch 0.433005 0.000000
k2 tau1 -1.085778 0.000000
k2 tau2 0.195409 0.000000
k2 tauAch 0.240669 0.000000
k2 tauNor 0.212559 0.000000
k2 beta 0.258038 0.000000
k2 h0 0.223499 0.000000
k2 mNor 0.227732 0.000000
k2 mAch 0.442870 0.000000
tau1 tau2 -1.131151 0.000000
tau1 tauAch -1.085024 0.000000
tau1 tauNor -1.113673 0.000000
tau1 beta -1.067321 0.000000
tau1 h0 -1.102522 0.000000
tau1 mNor -1.098209 0.000000
tau1 mAch -0.878944 0.000000
tau2 tauAch 0.179687 0.000000
tau2 tauNor 0.148462 0.000000
tau2 beta 0.198981 0.000000
tau2 h0 0.160615 0.000000
tau2 mNor 0.165316 0.000000
tau2 mAch 0.404293 0.000000
tauAch tauNor 0.188873 0.000000
tauAch beta 0.236793 0.000000
tauAch h0 0.200401 0.000000
tauAch mNor 0.204860 0.000000
tauAch mAch 0.431542 0.000000
tauNor beta 0.201655 0.000000
tauNor h0 0.167548 0.000000
tauNor mNor 0.171727 0.000000
tauNor mAch 0.384175 0.000000
beta h0 0.211559 0.000000
beta mNor 0.215708 0.000000
beta mAch 0.426632 0.000000
h0 mNor 0.183407 0.000000
h0 mAch 0.398293 0.000000
mNor mAch 0.392753 0.000000
