Parameter S1 S1_conf ST ST_conf
alpha 0.495194 0.000000 0.030193 0.000000
N 1.956971 0.000000 0.471550 0.000000
M -0.630643 0.000000 0.048970 0.000000
k1 1.463453 0.000000 0.263704 0.000000
k2 0.332923 0.000000 0.013647 0.000000
tau1 0.344993 0.000000 0.014655 0.000000
tau2 -0.363097 0.000000 0.016233 0.000000
tauAch -2.144051 0.000000 0.566018 0.000000
tauNor -3.313473 0.000000 1.351843 0.000000
beta 0.644724 0.000000 0.051181 0.000000
h0 0.661488 0.000000 0.053877 0.000000
mNor 1.478205 0.000000 0.269048 0.000000
mAch 0.669534 0.000000 0.055196 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -2.464296 0.000000
alpha M 0.099390 0.000000
alpha k1 -1.975342 0.000000
alpha k2 -0.855266 0.000000
alpha tau1 -0.867224 0.000000
alpha tau2 -0.165681 0.000000
alpha tauAch 1.598804 0.000000
alpha tauNor 2.757412 0.000000
alpha beta -1.164184 0.000000
alpha h0 -1.180792 0.000000
alpha mNor -1.989957 0.000000
alpha mAch -1.188764 0.000000
N M -1.466836 0.000000
N k1 -3.177106 0.000000
N k2 -2.253790 0.000000
N tau1 -2.263648 0.000000
N tau2 -1.685343 0.000000
N tauAch -0.230819 0.000000
N tauNor 0.724261 0.000000
N beta -2.508441 0.000000
N h0 -2.522132 0.000000
N mNor -3.189154 0.000000
N mAch -2.528704 0.000000
M k1 -0.630444 0.000000
M k2 0.323861 0.000000
M tau1 0.313673 0.000000
M tau2 0.911387 0.000000
M tauAch 2.414729 0.000000
M tauNor 3.401863 0.000000
M beta 0.060663 0.000000
M h0 0.046513 0.000000
M mNor -0.642896 0.000000
M mAch 0.039721 0.000000
k1 k2 -1.719345 0.000000
k1 tau1 -1.727843 0.000000
k1 tau2 -1.229280 0.000000
k1 tauAch 0.024681 0.000000
k1 tauNor 0.848065 0.000000
k1 beta -1.938882 0.000000
k1 h0 -1.950685 0.000000
k1 mNor -2.525732 0.000000
k1 mAch -1.956351 0.000000
k2 tau1 -0.499345 0.000000
k2 tau2 -0.185521 0.000000
k2 tauAch 0.603792 0.000000
k2 tauNor 1.122076 0.000000
k2 beta -0.632185 0.000000
k2 h0 -0.639614 0.000000
k2 mNor -1.001581 0.000000
k2 mAch -0.643180 0.000000
tau1 tau2 -0.049530 0.000000
tau1 tauAch 1.532625 0.000000
tau1 tauNor 2.571511 0.000000
tau1 beta -0.944854 0.000000
tau1 h0 -0.959746 0.000000
tau1 mNor -1.685298 0.000000
tau1 mAch -0.966894 0.000000
tau2 tauAch 2.378570 0.000000
tau2 tauNor 3.493731 0.000000
tau2 beta -0.280805 0.000000
tau2 h0 -0.296791 0.000000
tau2 mNor -1.075613 0.000000
tau2 mAch -0.304464 0.000000
tauAch tauNor 4.681084 0.000000
tauAch beta 1.622239 0.000000
tauAch h0 1.609285 0.000000
tauAch mNor 0.978136 0.000000
tauAch mAch 1.603067 0.000000
tauNor beta 2.848414 0.000000
tauNor h0 2.836868 0.000000
tauNor mNor 2.274363 0.000000
tauNor mAch 2.831326 0.000000
beta h0 -1.219770 0.000000
beta mNor -1.898457 0.000000
beta mAch -1.226456 0.000000
h0 mNor -1.882211 0.000000
h0 mAch -1.227903 0.000000
mNor mAch -1.883250 0.000000
