Parameter S1 S1_conf ST ST_conf
alpha 0.491770 0.000000 0.033619 0.000000
N 4.327795 0.000000 2.603709 0.000000
M -9.480353 0.000000 12.494187 0.000000
k1 2.017800 0.000000 0.565999 0.000000
k2 0.220525 0.000000 0.006760 0.000000
tau1 -13.476259 0.000000 25.246296 0.000000
tau2 0.804915 0.000000 0.090066 0.000000
tauAch -1.810507 0.000000 0.455679 0.000000
tauNor -11.941408 0.000000 19.823029 0.000000
beta -3.160118 0.000000 1.388243 0.000000
h0 -0.969206 0.000000 0.130584 0.000000
mNor -1.303300 0.000000 0.236128 0.000000
mAch 2.525007 0.000000 0.886307 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 3.062206 0.000000
alpha M -8.815680 0.000000
alpha k1 1.075128 0.000000
alpha k2 -0.470903 0.000000
alpha tau1 -12.252992 0.000000
alpha tau2 0.031794 0.000000
alpha tauAch -2.218014 0.000000
alpha tauNor -10.932700 0.000000
alpha beta -3.378960 0.000000
alpha h0 -1.494319 0.000000
alpha mNor -1.781710 0.000000
alpha mAch 1.511432 0.000000
N M 1.495382 0.000000
N k1 -5.423954 0.000000
N k2 -4.342393 0.000000
N tau1 3.900030 0.000000
N tau2 -4.694066 0.000000
N tauAch -3.120163 0.000000
N tauNor 2.976391 0.000000
N beta -2.307997 0.000000
N h0 -3.626440 0.000000
N mNor -3.425389 0.000000
N mAch -5.729180 0.000000
M k1 9.499897 0.000000
M k2 9.480613 0.000000
M tau1 9.333652 0.000000
M tau2 9.486883 0.000000
M tauAch 9.458821 0.000000
M tauNor 9.350120 0.000000
M beta 9.444340 0.000000
M h0 9.467848 0.000000
M mNor 9.464263 0.000000
M mAch 9.505339 0.000000
k1 k2 -2.005471 0.000000
k1 tau1 -8.967232 0.000000
k1 tau2 -1.708438 0.000000
k1 tauAch -3.037797 0.000000
k1 tauNor -8.187102 0.000000
k1 beta -3.723774 0.000000
k1 h0 -2.610183 0.000000
k1 mNor -2.779996 0.000000
k1 mAch -0.834155 0.000000
k2 tau1 2.084776 0.000000
k2 tau2 -0.323148 0.000000
k2 tauAch 0.117834 0.000000
k2 tauNor 1.825987 0.000000
k2 beta 0.345389 0.000000
k2 h0 -0.024016 0.000000
k2 mNor 0.032315 0.000000
k2 mAch -0.613169 0.000000
tau1 tau2 13.166151 0.000000
tau1 tauAch 14.498717 0.000000
tau1 tauNor 19.660445 0.000000
tau1 beta 15.186348 0.000000
tau1 h0 14.070071 0.000000
tau1 mNor 14.240293 0.000000
tau1 mAch 12.289758 0.000000
tau2 tauAch 0.630956 0.000000
tau2 tauNor 7.879736 0.000000
tau2 beta 1.596618 0.000000
tau2 h0 0.028995 0.000000
tau2 mNor 0.268044 0.000000
tau2 mAch -2.471156 0.000000
tauAch tauNor 13.873763 0.000000
tauAch beta 5.146313 0.000000
tauAch h0 2.968834 0.000000
tauAch mNor 3.300880 0.000000
tauAch mAch -0.503955 0.000000
tauNor beta 12.681211 0.000000
tauNor h0 12.198297 0.000000
tauNor mNor 12.271938 0.000000
tauNor mAch 11.428114 0.000000
beta h0 -7.473480 0.000000
beta mNor -10.521710 0.000000
beta mAch 24.407192 0.000000
h0 mNor 1.203657 0.000000
h0 mAch 0.605117 0.000000
mNor mAch 1.406102 0.000000
