Parameter S1 S1_conf ST ST_conf
alpha -1.258165 0.000000 0.986757 0.000000
N -2.429181 0.000000 3.678364 0.000000
M -1.907977 0.000000 2.269245 0.000000
k1 0.105764 0.000000 0.006973 0.000000
k2 -1.383389 0.000000 1.192954 0.000000
tau1 -0.469591 0.000000 0.137459 0.000000
tau2 2.170271 0.000000 2.936047 0.000000
tauAch -0.762345 0.000000 0.362275 0.000000
tauNor 6.021762 0.000000 22.603839 0.000000
beta 0.942778 0.000000 0.554056 0.000000
h0 -0.560971 0.000000 0.196162 0.000000
mNor 1.303855 0.000000 1.059726 0.000000
mAch -0.747115 0.000000 0.347944 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 5.830298 0.000000
alpha M 5.133161 0.000000
alpha k1 2.439677 0.000000
alpha k2 4.431497 0.000000
alpha tau1 3.209244 0.000000
alpha tau2 -0.321711 0.000000
alpha tauAch 3.600817 0.000000
alpha tauNor -5.473283 0.000000
alpha beta 1.320126 0.000000
alpha h0 3.331469 0.000000
alpha mNor 0.837167 0.000000
alpha mAch 3.580447 0.000000
N M 16.095571 0.000000
N k1 6.596152 0.000000
N k2 13.620933 0.000000
N tau1 9.310272 0.000000
N tau2 -3.142747 0.000000
N tauAch 10.691280 0.000000
N tauNor -21.311383 0.000000
N beta 2.647707 0.000000
N h0 9.741338 0.000000
N mNor 0.944398 0.000000
N mAch 10.619436 0.000000
M k1 2.800633 0.000000
M k2 4.305495 0.000000
M tau1 3.382057 0.000000
M tau2 0.714349 0.000000
M tauAch 3.677899 0.000000
M tauNor -3.177770 0.000000
M beta 1.954790 0.000000
M h0 3.474401 0.000000
M mNor 1.589904 0.000000
M mAch 3.662508 0.000000
k1 k2 -0.015669 0.000000
k1 tau1 -0.050370 0.000000
k1 tau2 -0.150618 0.000000
k1 tauAch -0.039253 0.000000
k1 tauNor -0.296877 0.000000
k1 beta -0.104005 0.000000
k1 h0 -0.046900 0.000000
k1 mNor -0.117716 0.000000
k1 mAch -0.039831 0.000000
k2 tau1 1.377234 0.000000
k2 tau2 1.388373 0.000000
k2 tauAch 1.375999 0.000000
k2 tauNor 1.404624 0.000000
k2 beta 1.383194 0.000000
k2 h0 1.376849 0.000000
k2 mNor 1.384717 0.000000
k2 mAch 1.376063 0.000000
tau1 tau2 4.370688 0.000000
tau1 tauAch -5.314987 0.000000
tau1 tauNor 17.091171 0.000000
tau1 beta 0.316593 0.000000
tau1 h0 -4.649901 0.000000
tau1 mNor 1.509138 0.000000
tau1 mAch -5.264687 0.000000
tau2 tauAch -0.178647 0.000000
tau2 tauNor -7.893064 0.000000
tau2 beta -2.117594 0.000000
tau2 h0 -0.407636 0.000000
tau2 mNor -2.528186 0.000000
tau2 mAch -0.195965 0.000000
tauAch tauNor 9.367768 0.000000
tauAch beta 0.683134 0.000000
tauAch h0 -1.888149 0.000000
tauAch mNor 1.300545 0.000000
tauAch mAch -2.206440 0.000000
tauNor beta -5.866761 0.000000
tauNor h0 -0.835232 0.000000
tauNor mNor -7.074922 0.000000
tauNor mAch -0.212395 0.000000
beta h0 29.842845 0.000000
beta mNor -7.194007 0.000000
beta mAch 33.539808 0.000000
h0 mNor 0.692450 0.000000
h0 mAch -0.164284 0.000000
mNor mAch 1.912176 0.000000
