Parameter S1 S1_conf ST ST_conf
alpha 1.164418 0.000000 1.055253 0.000000
N -0.474712 0.000000 0.175388 0.000000
M 0.472679 0.000000 0.173889 0.000000
k1 0.525030 0.000000 0.214539 0.000000
k2 0.511815 0.000000 0.203876 0.000000
tau1 0.887672 0.000000 0.613259 0.000000
tau2 0.395869 0.000000 0.121967 0.000000
tauAch 0.631383 0.000000 0.310259 0.000000
tauNor 0.689197 0.000000 0.369680 0.000000
beta 0.917659 0.000000 0.655393 0.000000
h0 -0.956540 0.000000 0.712108 0.000000
mNor 0.181956 0.000000 0.025768 0.000000
mAch 0.220584 0.000000 0.037869 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 0.364015 0.000000
alpha M -0.644837 0.000000
alpha k1 -0.700584 0.000000
alpha k2 -0.686512 0.000000
alpha tau1 -1.086751 0.000000
alpha tau2 -0.563044 0.000000
alpha tauAch -0.813836 0.000000
alpha tauNor -0.875401 0.000000
alpha beta -1.118684 0.000000
alpha h0 0.877101 0.000000
alpha mNor -0.335254 0.000000
alpha mAch -0.376387 0.000000
N M 1.549001 0.000000
N k1 1.433739 0.000000
N k2 1.462834 0.000000
N tau1 0.635296 0.000000
N tau2 1.718118 0.000000
N tauAch 1.199578 0.000000
N tauNor 1.072286 0.000000
N beta 0.569272 0.000000
N h0 4.695772 0.000000
N mNor 2.189098 0.000000
N mAch 2.104050 0.000000
M k1 0.127961 0.000000
M k2 0.146184 0.000000
M tau1 -0.372105 0.000000
M tau2 0.306069 0.000000
M tauAch -0.018694 0.000000
M tauNor -0.098418 0.000000
M beta -0.413456 0.000000
M h0 2.170981 0.000000
M mNor 0.601045 0.000000
M mAch 0.547779 0.000000
k1 k2 -0.405376 0.000000
k1 tau1 -0.505584 0.000000
k1 tau2 -0.374463 0.000000
k1 tauAch -0.437254 0.000000
k1 tauNor -0.452668 0.000000
k1 beta -0.513579 0.000000
k1 h0 -0.013892 0.000000
k1 mNor -0.317431 0.000000
k1 mAch -0.327730 0.000000
k2 tau1 -0.319798 0.000000
k2 tau2 0.974977 0.000000
k2 tauAch 0.354937 0.000000
k2 tauNor 0.202728 0.000000
k2 beta -0.398746 0.000000
k2 h0 4.535483 0.000000
k2 mNor 1.538148 0.000000
k2 mAch 1.436453 0.000000
tau1 tau2 -0.449821 0.000000
tau1 tauAch -0.632419 0.000000
tau1 tauNor -0.677243 0.000000
tau1 beta -0.854373 0.000000
tau1 h0 0.598724 0.000000
tau1 mNor -0.283971 0.000000
tau1 mAch -0.313920 0.000000
tau2 tauAch 1.975375 0.000000
tau2 tauNor 1.558966 0.000000
tau2 beta -0.086536 0.000000
tau2 h0 13.412442 0.000000
tau2 mNor 5.212384 0.000000
tau2 mAch 4.934168 0.000000
tauAch tauNor -0.227919 0.000000
tauAch beta -0.567539 0.000000
tauAch h0 2.218553 0.000000
tauAch mNor 0.526120 0.000000
tauAch mAch 0.468699 0.000000
tauNor beta -0.645553 0.000000
tauNor h0 1.259043 0.000000
tauNor mNor 0.102082 0.000000
tauNor mAch 0.062828 0.000000
beta h0 2.734627 0.000000
beta mNor 0.565719 0.000000
beta mAch 0.492131 0.000000
h0 mNor 2.269897 0.000000
h0 mAch 2.204743 0.000000
mNor mAch 3.714872 0.000000
