Parameter S1 S1_conf ST ST_conf
alpha 0.463109 0.000000 0.028920 0.000000
N -0.592595 0.000000 0.047353 0.000000
M 0.578162 0.000000 0.045074 0.000000
k1 -3.168953 0.000000 1.354137 0.000000
k2 0.071509 0.000000 0.000690 0.000000
tau1 -0.090412 0.000000 0.001102 0.000000
tau2 0.273926 0.000000 0.010118 0.000000
tauAch 0.152859 0.000000 0.003151 0.000000
tauNor 0.023654 0.000000 0.000075 0.000000
beta -0.299678 0.000000 0.012110 0.000000
h0 -0.402294 0.000000 0.021823 0.000000
mNor 0.352661 0.000000 0.016770 0.000000
mAch -7.550647 0.000000 7.687755 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 0.206112 0.000000
alpha M -0.858663 0.000000
alpha k1 2.549247 0.000000
alpha k2 -0.397874 0.000000
alpha tau1 -0.250611 0.000000
alpha tau2 -0.581968 0.000000
alpha tauAch -0.471860 0.000000
alpha tauNor -0.354351 0.000000
alpha beta -0.060289 0.000000
alpha h0 0.033038 0.000000
alpha mNor -0.653575 0.000000
alpha mAch 6.534292 0.000000
N M 0.253660 0.000000
N k1 3.173776 0.000000
N k2 0.648493 0.000000
N tau1 0.774678 0.000000
N tau2 0.490750 0.000000
N tauAch 0.585097 0.000000
N tauNor 0.685786 0.000000
N beta 0.937757 0.000000
N h0 1.017726 0.000000
N mNor 0.429392 0.000000
N mAch 6.588418 0.000000
M k1 2.731547 0.000000
M k2 -0.506487 0.000000
M tau1 -0.344687 0.000000
M tau2 -0.708753 0.000000
M tauAch -0.587777 0.000000
M tauNor -0.458668 0.000000
M beta -0.135579 0.000000
M h0 -0.033039 0.000000
M mNor -0.787429 0.000000
M mAch 7.109960 0.000000
k1 k2 3.236660 0.000000
k1 tau1 3.389505 0.000000
k1 tau2 3.045590 0.000000
k1 tauAch 3.159870 0.000000
k1 tauNor 3.281833 0.000000
k1 beta 3.587039 0.000000
k1 h0 3.683904 0.000000
k1 mNor 2.971269 0.000000
k1 mAch 10.431542 0.000000
k2 tau1 0.141513 0.000000
k2 tau2 -0.190660 0.000000
k2 tauAch -0.080282 0.000000
k2 tauNor 0.037517 0.000000
k2 beta 0.332304 0.000000
k2 h0 0.425862 0.000000
k2 mNor -0.262444 0.000000
k2 mAch 6.943141 0.000000
tau1 tau2 0.011951 0.000000
tau1 tauAch 0.084635 0.000000
tau1 tauNor 0.162207 0.000000
tau1 beta 0.356325 0.000000
tau1 h0 0.417933 0.000000
tau1 mNor -0.035319 0.000000
tau1 mAch 4.709594 0.000000
tau2 tauAch -0.283728 0.000000
tau2 tauNor -0.152105 0.000000
tau2 beta 0.177277 0.000000
tau2 h0 0.281814 0.000000
tau2 mNor -0.487269 0.000000
tau2 mAch 7.563938 0.000000
tauAch tauNor -0.044675 0.000000
tauAch beta 0.247835 0.000000
tauAch h0 0.340670 0.000000
tauAch mNor -0.342320 0.000000
tauAch mAch 6.807618 0.000000
tauNor beta 0.201563 0.000000
tauNor h0 0.253743 0.000000
tauNor mNor -0.130143 0.000000
tauNor mAch 3.888594 0.000000
beta h0 0.610756 0.000000
beta mNor 0.180258 0.000000
beta mAch 4.686955 0.000000
h0 mNor 0.215943 0.000000
h0 mAch 7.248551 0.000000
mNor mAch 7.347896 0.000000
