Parameter S1 S1_conf ST ST_conf
alpha 30.185941 0.000000 0.766440 0.000000
N -120.743764 0.000000 12.263039 0.000000
M -10637.061224 0.000000 95172.612245 0.000000
k1 -282.509448 0.000000 67.132779 0.000000
k2 -188.855631 0.000000 30.000504 0.000000
tau1 -1237.623583 0.000000 1288.385488 0.000000
tau2 -379.839758 0.000000 121.358308 0.000000
tauAch -9311.975813 0.000000 72937.748047 0.000000
tauNor -528.640967 0.000000 235.066264 0.000000
beta -243.809524 0.000000 50.000000 0.000000
h0 1784.066515 0.000000 2677.261275 0.000000
mNor -63.080877 0.000000 3.347065 0.000000
mAch -144.737717 0.000000 17.621063 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -2941.750567 0.000000
alpha M 55664.810280 0.000000
alpha k1 -2040.243890 0.000000
alpha k2 -2562.168808 0.000000
alpha tau1 3282.527589 0.000000
alpha tau2 -1497.830184 0.000000
alpha tauAch 48280.219703 0.000000
alpha tauNor -668.573444 0.000000
alpha beta -2255.915344 0.000000
alpha h0 -13557.099521 0.000000
alpha mNor -3263.101033 0.000000
alpha mAch -2808.034266 0.000000
N M -1479.836735 0.000000
N k1 178.509448 0.000000
N k2 193.508692 0.000000
N tau1 25.541950 0.000000
N tau2 162.921391 0.000000
N tauAch -1267.616024 0.000000
N tauNor 139.089947 0.000000
N beta 184.707483 0.000000
N h0 509.484505 0.000000
N mNor 213.652305 0.000000
N mAch 200.574452 0.000000
M k1 9615.125220 0.000000
M k2 9349.772739 0.000000
M tau1 12321.281935 0.000000
M tau2 9890.894432 0.000000
M tauAch 35198.613253 0.000000
M tauNor 10312.497858 0.000000
M beta 9505.475435 0.000000
M h0 3759.826657 0.000000
M mNor 8993.410935 0.000000
M mAch 9224.771983 0.000000
k1 k2 1291.753086 0.000000
k1 tau1 -1037.931973 0.000000
k1 tau2 867.509700 0.000000
k1 tauAch -18973.927942 0.000000
k1 tauNor 536.969514 0.000000
k1 beta 1169.681028 0.000000
k1 h0 5674.311917 0.000000
k1 mNor 1571.143361 0.000000
k1 mAch 1389.754598 0.000000
k2 tau1 674.926682 0.000000
k2 tau2 -26.490300 0.000000
k2 tauAch 7277.391786 0.000000
k2 tauNor 95.185689 0.000000
k2 beta -137.723356 0.000000
k2 h0 -1795.934492 0.000000
k2 mNor -285.506677 0.000000
k2 mAch -218.735198 0.000000
tau1 tau2 565.524817 0.000000
tau1 tauAch 23361.080373 0.000000
tau1 tauNor 945.277904 0.000000
tau1 beta 218.364324 0.000000
tau1 h0 -4956.944318 0.000000
tau1 mNor -242.870244 0.000000
tau1 mAch -34.475183 0.000000
tau2 tauAch -3322.453011 0.000000
tau2 tauNor 428.762913 0.000000
tau2 beta 550.409675 0.000000
tau2 h0 1416.481733 0.000000
tau2 mNor 627.595868 0.000000
tau2 mAch 592.721592 0.000000
tauAch tauNor 9338.227261 0.000000
tauAch beta 9403.501134 0.000000
tauAch h0 9868.222726 0.000000
tauAch mNor 9444.918115 0.000000
tauAch mAch 9426.205089 0.000000
tauNor beta 281.366591 0.000000
tauNor h0 -974.173847 0.000000
tauNor mNor 169.470144 0.000000
tauNor mAch 220.027211 0.000000
beta h0 -2866.116402 0.000000
beta mNor -499.458806 0.000000
beta mAch -394.835979 0.000000
h0 mNor 2615.115142 0.000000
h0 mAch 1995.884102 0.000000
mNor mAch 2752.661124 0.000000
