Parameter S1 S1_conf ST ST_conf
alpha 0.047578 0.000000 2.447281 0.000000
N 0.041392 0.000000 1.852295 0.000000
M 0.052260 0.000000 2.952711 0.000000
k1 0.063476 0.000000 4.356009 0.000000
k2 -0.004740 0.000000 0.024295 0.000000
tau1 0.064921 0.000000 4.556629 0.000000
tau2 0.051451 0.000000 2.861964 0.000000
tauAch -1.814776 0.000000 3560.591051 0.000000
tauNor -0.235865 0.000000 60.145682 0.000000
beta 0.094693 0.000000 9.694199 0.000000
h0 0.507804 0.000000 278.784599 0.000000
mNor 0.075963 0.000000 6.238424 0.000000
mAch 0.061163 0.000000 4.044413 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -0.513528 0.000000
alpha M 3.866401 0.000000
alpha k1 8.386114 0.000000
alpha k2 -19.104925 0.000000
alpha tau1 8.968551 0.000000
alpha tau2 3.540236 0.000000
alpha tauAch -748.549370 0.000000
alpha tauNor -112.248295 0.000000
alpha beta 20.966759 0.000000
alpha h0 187.450630 0.000000
alpha mNor 13.418372 0.000000
alpha mAch 7.454214 0.000000
N M 1.073072 0.000000
N k1 2.360013 0.000000
N k2 -5.467771 0.000000
N tau1 2.525856 0.000000
N tau2 0.980200 0.000000
N tauAch -213.169384 0.000000
N tauNor -31.989363 0.000000
N beta 5.942219 0.000000
N h0 53.346745 0.000000
N mNor 3.792895 0.000000
N mAch 2.094664 0.000000
M k1 1.700399 0.000000
M k2 -4.012689 0.000000
M tau1 1.821439 0.000000
M tau2 0.693346 0.000000
M tauAch -155.603191 0.000000
M tauNor -23.369407 0.000000
M beta 4.314863 0.000000
M h0 38.912938 0.000000
M mNor 2.746185 0.000000
M mAch 1.506735 0.000000
k1 k2 5.640724 0.000000
k1 tau1 -2.762162 0.000000
k1 tau2 -1.137371 0.000000
k1 tauAch 223.976298 0.000000
k1 tauNor 33.520176 0.000000
k1 beta -6.353437 0.000000
k1 h0 -56.184992 0.000000
k1 mNor -4.094072 0.000000
k1 mAch -2.308894 0.000000
k2 tau1 -19.878844 0.000000
k2 tau2 -7.907590 0.000000
k2 tauAch 1650.701931 0.000000
k2 tauNor 247.444907 0.000000
k2 beta -46.338912 0.000000
k2 h0 -413.491618 0.000000
k2 mNor -29.692190 0.000000
k2 mAch -16.539224 0.000000
tau1 tau2 -0.136143 0.000000
tau1 tauAch 14.793676 0.000000
tau1 tauNor 2.162389 0.000000
tau1 beta -0.482079 0.000000
tau1 h0 -3.786970 0.000000
tau1 mNor -0.332235 0.000000
tau1 mAch -0.213840 0.000000
tau2 tauAch -127.510348 0.000000
tau2 tauNor -19.157590 0.000000
tau2 beta 3.526983 0.000000
tau2 h0 31.876749 0.000000
tau2 mNor 2.241603 0.000000
tau2 mAch 1.225994 0.000000
tauAch tauNor 2.093190 0.000000
tauAch beta 1.762632 0.000000
tauAch h0 1.349520 0.000000
tauAch mNor 1.781362 0.000000
tauAch mAch 1.796161 0.000000
tauNor beta 12.594173 0.000000
tauNor h0 110.501561 0.000000
tauNor mNor 8.155047 0.000000
tauNor mAch 4.647589 0.000000
beta h0 749.432882 0.000000
beta mNor 53.735692 0.000000
beta mAch 29.893861 0.000000
h0 mNor -28.341889 0.000000
h0 mAch -16.013990 0.000000
mNor mAch -1.593074 0.000000
